"","disco","banda","disco_nombre","tipo","discografica","ano"
"1","almendra","Almendra","Almendra","LP","RCA Vil",1969
"2","almendrasimples","Almendra","Almendra (simples)","Simples",NA,NA
"3","almendra2","Almendra","Almendra II","LP","RCA Vil",1970
"4","spinettalandia","Solista","Spinetalandia y sus amigos","LP","RCA Groove",1971
"5","desatormentandonos","Pesacado Rabioso","Desatormentandonos","LP","Microfon",1972
"6","pescadosimples","Pesacado Rabioso","Pescado (simples)","Simples",NA,NA
"7","pescado2","Pesacado Rabioso","Pesacado 2","LP","Microfon",1973
"8","artaud","Pesacado Rabioso","Artaud","LP","Talent Mocrofon",1973
"9","invisible","Invisible","Invisible","LP","Talent Mocrofon",1974
"10","invisiblesimples","Invisible","Invisible (simples)","Simples",NA,NA
"11","duraznosangrando","Invisible","Durazno sangrando","LP","CBS",1975
"12","eljardindelospresentes","Invisible","El jardín de los presentes","LP","CBS",1976
"13","a18delsol","Solista","A 18' del sol","LP","CBS",1977
"14","soloelamorpuedesostener","Solista","Only love can sustain","LP","CBS",1980
"15","elvalleinterior","Almendra","El valle interior","LP","Almendra Editora",1980
"16","almendraobras1","Almendra","Almendra en Obras 1","Vivo","Almendra Editora",1980
"17","almendraobras2","Almendra","Almendra en Obras 2","Vivo","Almendra Editora",1980
"18","almadediamante","Spinetta Jade","Alma de diamante","LP","Ratón Finta",1980
"19","losninosquescribenenelcielo","Spinetta Jade","Los niños que escriben en el cielo","LP","Ratón Finta",1981
"20","kamikaze","Solista","Kamikaze","LP","Ratón Finta",182
"21","mondodicromo","Solista","Mondo di cromo","LP","Ratón Finta",1983
"22","bajobelgrano","Spinetta Jade","Bajo Belgrano","LP","Ratón Finta, Interdisc",1983
"23","madrenanosluz","Spinetta Jade","Madre en años luz","LP","Interdisc",1984
"24","prive","Solista","Privé","LP","Interdisc",1986
"25","lalala","Con Fito Paez","La la la","LP","EMI",1986
"26","testerdeviolencia","Solista","Téster de violencia","LP","Del Cielito Records",1988
"27","donlucero","Solista","Don Lucero","LP","Del Cielito Records",1989
"28","exactas","Solista","Exactas","Vivo","Del Cielito Records",1990
"29","pelusonofmilk","Solista","Pelusón of milk","LP","EMI",1991
"30","fuegogris","Solista","Fuego Gris","LP","Polydor",199
"31","sociosdeldesierto","Spinetta y los Socios del Desierto","Spinetta y los Socios del Desierto","LP","Columbia, Sony Music",1997
"32","estrelicia","Spinetta y los Socios del Desierto","Estrelicia MTV Unplugged","Vivo","Columbia, Sony Music",1997
"33","sancristoforo","Spinetta y los Socios del Desierto","San Cristóforo","Vivo","Columbia, Sony Music",1998
"34","losojos","Spinetta y los Socios del Desierto","Los ojos","LP","Universal Music",1999
"35","elijaygane","Solista","Elija y gane","Compilación","Universal, Ratón Finta, Interdisc",1999
"36","silversorgo","Solista","Silver Sorgo","LP","Universal Music",2001
"37","obrasenvivo","Solista","Argentina Sorgo Films presenta: Spinetta Obras","Vivo","Universal Music",2002
"38","paralosarboles","Solista","Para los árboles","LP","Universal Music",2003
"39","camalotus","Solista","Camalotus","EP","Universal Music",2004
"40","pan","Solista","Pan","LP","Universal Music",2005
"41","unmanana","Solista","Un mañana","LP","Universal Music",2008
"42","spinettaylasbandaseternas","Solista","Spinetta y las Bandas Eternas","Vivo","Mango's Music",2010
"43","losamigo","Solista","Los Amigo","LP","Sony Music",2015
"44","yanomiresatras","Solista","Ya no mires atrás","LP","Sony Music",2020
"45","inedito","Solista","Temas inéditos","Inedito",NA,NA
