"","disco","tema","aut_letra","aut_musica","ano_single"
"1","almendra","Muchacha (Ojos de papel)","Luis Alberto Spinetta","Luis Alberto Spinetta",NA
"2","almendra","Color humano","Edelmiro Molinari","Edelmiro Molinari",NA
"3","almendra","Figuración","Luis Alberto Spinetta","Luis Alberto Spinetta",NA
"4","almendra","Ana no duerme","Luis Alberto Spinetta","Luis Alberto Spinetta",NA
"5","almendra","Fermín","Luis Alberto Spinetta","Luis Alberto Spinetta",NA
"6","almendra","Plegaria para un niño dormido","Luis Alberto Spinetta","Luis Alberto Spinetta",NA
"7","almendra","A estos hombres tristes","Luis Alberto Spinetta","Luis Alberto Spinetta",NA
"8","almendra","Que el viento borró tus manos","Emilio del Guercio","Emilio del Guercio",NA
"9","almendra","Laura va","Luis Alberto Spinetta","Luis Alberto Spinetta",NA
"10","almendrasimples","Tema de Pototo","Edelmiro Molinari, Luis Alberto Spinetta","Edelmiro Molinari, Luis Alberto Spinetta",1968
"11","almendrasimples","El mundo entre las manos","Luis Alberto Spinetta","Luis Alberto Spinetta",1968
"12","almendrasimples","Hoy todo el hielo en la ciudad","Luis Alberto Spinetta","Luis Alberto Spinetta",1968
"13","almendrasimples","Campos verdes","Luis Alberto Spinetta","Luis Alberto Spinetta",1968
"14","almendrasimples","Final","Luis Alberto Spinetta","Luis Alberto Spinetta",1969
"15","almendrasimples","Gabinetes espaciales","Luis Alberto Spinetta","Luis Alberto Spinetta",1969
"16","almendrasimples","Hermano perro","Luis Alberto Spinetta","Luis Alberto Spinetta",1970
"17","almendrasimples","Mestizo","Edelmiro Molinari","Edelmiro Molinari",1970
"18","almendrasimples","Toma el tren hacia el sur","Luis Alberto Spinetta","Luis Alberto Spinetta",NA
"19","almendrasimples","Jingle","Luis Alberto Spinetta","Luis Alberto Spinetta",NA
"20","almendrasimples","Rutas argentinas","Luis Alberto Spinetta","Luis Alberto Spinetta",NA
"21","almendra2","Toma el tren hacia el sur","Luis Alberto Spinetta","Luis Alberto Spinetta",NA
"22","almendra2","Jingle","Luis Alberto Spinetta","Luis Alberto Spinetta",NA
